word,colour,stimulus_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,text_2.stopped,instructions.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text_3.started,text_3.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0031174002215266228,0.01032850006595254,1.0105102001689374,0.9943380001932383,,,,,,,,,,,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
BLUE,red,I,r,0,0,0,r,1,1.2292259000241756,None,0,0,0,2,1.0105102001689374,,,,,,1.005490600131452,1.0105102001689374,1.5109525001607835,1.5109525001607835,1.5109525001607835,2.7468310999684036,r,1,1.2292259000241756,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
RED,blue,I,b,1,1,0,b,1,0.8229704997502267,None,0,1,1,1,2.759917200077325,,,,,,2.7511761002242565,2.759917200077325,3.2607717998325825,3.2607717998325825,3.2607717998325825,4.09428449999541,b,1,0.8229704997502267,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
RED,red,C,r,2,2,0,r,1,0.5824762000702322,None,0,2,2,0,4.110813899897039,,,,,,4.09485589992255,4.110813899897039,4.594115400221199,4.594115400221199,4.594115400221199,5.17826859978959,r,1,0.5824762000702322,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.5479757003486156,None,0,3,3,3,5.194087000098079,,,,,,5.180610400158912,5.194087000098079,5.677689500153065,5.677689500153065,5.677689500153065,6.22801459999755,b,1,0.5479757003486156,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
RED,red,C,r,4,0,1,r,1,0.8343902002088726,None,1,0,4,0,6.24402270000428,,,,,,6.230380000080913,6.24402270000428,6.727659199852496,6.727659199852496,6.727659199852496,7.578687800094485,r,1,0.8343902002088726,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
BLUE,blue,C,b,5,1,1,r,0,0.25922869984060526,None,1,1,5,3,7.59421439981088,,,,,,7.580907099880278,7.59421439981088,8.094086199998856,8.094086199998856,8.094086199998856,8.361289499793202,r,0,0.25922869984060526,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
RED,blue,I,b,6,2,1,b,1,0.8354826997965574,None,1,2,6,1,8.377143200021237,,,,,,8.362865699920803,8.377143200021237,8.860728700179607,8.860728700179607,8.860728700179607,9.711630099918693,b,1,0.8354826997965574,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
BLUE,red,I,r,7,3,1,r,1,0.41799090011045337,None,1,3,7,2,9.72740519978106,,,,,,9.714518900029361,9.72740519978106,10.210660300217569,10.210660300217569,10.210660300217569,10.644621199928224,r,1,0.41799090011045337,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
RED,blue,I,b,8,0,2,b,1,0.5949084996245801,None,2,0,8,1,10.660768600180745,,,,,,10.646709400229156,10.660768600180745,11.144114499911666,11.144114499911666,11.144114499911666,11.74457489978522,b,1,0.5949084996245801,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
BLUE,blue,C,b,9,1,2,b,1,0.3925288002938032,None,2,1,9,3,11.76078510005027,,,,,,11.746503499802202,11.76078510005027,12.244141399860382,12.244141399860382,12.244141399860382,12.644574999809265,b,1,0.3925288002938032,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
RED,red,C,r,10,2,2,r,1,0.4116434999741614,None,2,2,10,0,12.660518600139767,,,,,,12.64647619985044,12.660518600139767,13.144141899887472,13.144141899887472,13.144141899887472,13.56079570017755,r,1,0.4116434999741614,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
BLUE,red,I,r,11,3,2,r,1,0.4426746000535786,None,2,3,11,2,13.577612400054932,,,,,,13.563380599953234,13.577612400054932,14.060824499931186,14.060824499931186,14.060824499931186,14.511163000017405,r,1,0.4426746000535786,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
BLUE,blue,C,b,12,0,3,b,1,0.4097152999602258,None,3,0,12,3,14.527406000066549,,,,,,14.511465500108898,14.527406000066549,15.010804300196469,15.010804300196469,15.010804300196469,15.42782839993015,b,1,0.4097152999602258,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
RED,blue,I,b,13,1,3,b,1,0.8906650003045797,None,3,1,13,1,15.444079500157386,,,,,,15.43053189991042,15.444079500157386,15.927462900057435,15.927462900057435,15.927462900057435,16.827755299862474,b,1,0.8906650003045797,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
RED,red,C,r,14,2,3,r,1,0.5028502000495791,None,3,2,14,0,16.844057000242174,,,,,,16.82827620021999,16.844057000242174,17.32762849982828,17.32762849982828,17.32762849982828,17.8447806998156,r,1,0.5028502000495791,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
BLUE,red,I,r,15,3,3,r,1,1.0704614999704063,None,3,3,15,2,17.86089689983055,,,,,,17.84847200009972,17.86089689983055,18.344454600010067,18.344454600010067,18.344454600010067,19.427699599880725,r,1,1.0704614999704063,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
RED,blue,I,b,16,0,4,b,1,0.5076744998805225,None,4,0,16,1,19.444339099805802,,,,,,19.430244599934667,19.444339099805802,19.927723600063473,19.927723600063473,19.927723600063473,20.44392320001498,b,1,0.5076744998805225,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
RED,red,C,r,17,1,4,r,1,0.48640930000692606,None,4,1,17,0,20.460211399942636,,,,,,20.44462040020153,20.460211399942636,20.944193200208247,20.944193200208247,20.944193200208247,21.44455480016768,r,1,0.48640930000692606,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
BLUE,blue,C,b,18,2,4,b,1,0.4827916999347508,None,4,2,18,3,21.46040209988132,,,,,,21.446620699949563,21.46040209988132,21.943977099843323,21.943977099843323,21.943977099843323,22.428443499840796,b,1,0.4827916999347508,None,,,,,4,001,2025-08-24_19h11.40.946,stroop task,,2025.1.1,59.9983679760867,2025-08-24 19h11.55.966501 +0530,
